city,county,population,sq_mi,density_sq_mi
Lemon Grove,San Diego,27627,3.88,7120.4
Lemoore,Kings,27038,8.81,3069
Lincoln,Placer,49757,24.17,2058.6
Lindsay,Tulare,12659,2.72,4654
Live Oak,Sutter,9106,3.12,2918.6
Livermore,Alameda,87955,26.45,3325.3
Livingston,Merced,14172,3.68,3851.1
Lodi,San Joaquin,66348,13.64,4864.2
Loma Linda,San Bernardino,24791,7.64,3244.9
Lomita,Los Angeles,20921,1.91,10953.4
Lompoc,Santa Barbara,44444,11.62,3824.8
Long Beach,Los Angeles,466742,50.71,9204.1
Loomis,Placer,6836,7.27,940.3
Los Alamitos,Orange,11780,4.01,2937.7
Los Altos,Santa Clara,31625,6.54,4835.6
Los Altos Hills,Santa Clara,8489,9.03,940.1
Los Angeles,Los Angeles,3898747,469.49,8304.2
Los Banos,Merced,45532,9.99,4557.8
Los Gatos,Santa Clara,33529,11.55,2902.9
Loyalton,Sierra,740,0.36,2055.6
